Player,Team,POS,PASS_ATT,PASS_CMP,PASS_YD,PASS_TD,INTS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,REC_ATT,FL,FPTS
Chase Edmonds,MIA,RB,0,0,0,0,0,149.9,648.1,3.8,43.2,313.6,1.7,0,0.3,128.8
Melvin Gordon III,DEN,RB,0,0,0,0,0,152.4,701.8,5.6,26,202.6,1.2,0,1.4,128.6
Kareem Hunt,CLE,RB,0,0,0,0,0,126.3,531,4.3,41.5,325,1.9,0,0.2,122.4
Dameon Pierce,HOU,RB,0,0,0,0,0,199,683.2,4.5,22.8,174.2,0.5,0,0.5,115.1
Brian Robinson Jr.,WAS,RB,0,0,0,0,0,153.7,656,5,22.3,166,0.7,0,0.7,114.8
Michael Carter,NYJ,RB,0,0,0,0,0,125.1,514.7,3,34.5,290.3,1.3,0,0.3,106.3
James Robinson,JAC,RB,0,0,0,0,0,151.8,584.8,4.4,21.8,164.7,0.8,0,0.7,104.5
Darrell Henderson Jr.,LAR,RB,0,0,0,0,0,127.3,503.8,3.7,23.6,174.4,1.1,0,0.1,96.8
Raheem Mostert,MIA,RB,0,0,0,0,0,113.7,573.5,4,16.3,127.8,0.8,0,1,96.5
Ken Walker III,SEA,RB,0,0,0,0,0,159.5,586.5,4,16.7,115.8,0.5,0,0.5,96
Jamaal Williams,DET,RB,0,0,0,0,0,132.5,535.4,3.3,21.5,143.3,0.7,0,0.2,91.9
James Cook,BUF,RB,0,0,0,0,0,101.3,404.4,2.9,32.1,241.6,1.5,0,0.4,90.3
Mark Ingram II,NO,RB,0,0,0,0,0,122,507.9,3.4,18.4,147.7,0.5,0,0.5,88.1
Alexander Mattison,MIN,RB,0,0,0,0,0,110.2,439.1,2.8,23.9,175.9,0.9,0,0.4,83
Kenneth Gainwell,PHI,RB,0,0,0,0,0,84.2,351,3,27.9,226.6,1,0,0.7,80.5
Rex Burkhead,HOU,RB,0,0,0,0,0,73,340.4,2.3,30.9,253.6,1.2,0,0.2,80.2
Marlon Mack,HOU,RB,0,0,0,0,0,72.2,464.1,3.2,14.6,117,0.4,0,0.4,78.6
Nyheim Hines,IND,RB,0,0,0,0,0,54.9,206.9,1.4,44.9,355.7,1.8,0,0.4,74.3
Zamir White,LV,RB,0,0,0,0,0,93.2,401.9,3.6,12.4,91.7,0.5,0,0.5,72.5
J.D. McKissic,WAS,RB,0,0,0,0,0,51,207.6,1.4,44.2,340.7,1.6,0,0.2,72.3
Gus Edwards,BAL,RB,0,0,0,0,0,105.4,440.6,3,7.3,60.1,0.3,0,0.5,69
Jerick McKinnon,KC,RB,0,0,0,0,0,56.4,260.8,2.1,28.3,227.3,1.4,0,0.3,68.8
Rachaad White,TB,RB,0,0,0,0,0,82.4,335,2.9,18.1,129.7,0.9,0,0.4,68.3
Isaiah Spiller,LAC,RB,0,0,0,0,0,75.6,323,2.2,18.8,143.2,1.1,0,0.4,65.7
D'Onta Foreman,CAR,RB,0,0,0,0,0,74.9,397.8,2.8,9.3,78.8,0.3,0,0.9,64.8
Cooper Kupp,LAR,WR,0,0,0,0,0,0,25.9,0.1,120.1,"1,568.40",11.9,4.1,0.4,230.5
Justin Jefferson,MIN,WR,0,0,0,0,0,0,27.5,0.1,97.9,"1,404.60",9.2,4.1,0.3,198.1
Ja'Marr Chase,CIN,WR,0,0,0,0,0,0,56.1,0.3,86.7,"1,310.30",10,9.8,0.4,197.7
Deebo Samuel,SF,WR,0,0,0,0,0,0,357,4.6,66.6,964.3,5.9,61.4,0.6,193.7
Davante Adams,LV,WR,0,0,0,0,0,0,0,0,104,"1,292.10",9.1,0,0.2,183.1
Tyreek Hill,MIA,WR,0,0,0,0,0,0,66.2,0.7,85.5,"1,097.30",7.6,9,0.3,165.5
Mike Evans,TB,WR,0,0,0,0,0,0,0,0,79,"1,099.60",9.2,0,0.2,165
Stefon Diggs,BUF,WR,0,0,0,0,0,0,0,0,93.3,"1,166.60",8.2,0,0.3,165
Tee Higgins,CIN,WR,0,0,0,0,0,0,0,0,81.2,"1,154.40",7.8,0,0.3,161.8
A.J. Brown,PHI,WR,0,0,0,0,0,0,0,0,79.7,"1,154.60",7.6,0,0.2,160.5
CeeDee Lamb,DAL,WR,0,0,0,0,0,0,65.8,0.2,80.3,"1,092.00",6.6,8.9,0.2,156.1
Mike Williams,LAC,WR,0,0,0,0,0,0,0,0,72.2,"1,044.20",7.6,0,0.1,149.6
Gabriel Davis,BUF,WR,0,0,0,0,0,0,0,0,60.4,956.9,8.7,0,0.2,147.4
Michael Pittman Jr.,IND,WR,0,0,0,0,0,0,33.7,0.1,87.2,"1,078.50",6.1,4.7,0.3,147.4
Brandin Cooks,HOU,WR,0,0,0,0,0,0,12.1,0.1,88.5,"1,089.10",6.1,1.8,0.2,146.5
DK Metcalf,SEA,WR,0,0,0,0,0,0,0,0,77.5,"1,073.60",6.4,0,0.3,145.4
Keenan Allen,LAC,WR,0,0,0,0,0,0,0,0,94.7,"1,035.30",6.8,0,0.3,143.7
Amon-Ra St. Brown,DET,WR,0,0,0,0,0,0,66.6,0.3,87,972.4,6.2,10.3,0.3,142.1
Diontae Johnson,PIT,WR,0,0,0,0,0,0,29.6,0.1,92.5,"1,082.40",5.2,4,0.4,141.9
DJ Moore,CAR,WR,0,0,0,0,0,0,27.1,0.1,80.7,"1,072.60",5.3,3.9,0.4,141.7
Tyler Lockett,SEA,WR,0,0,0,0,0,0,5.5,0,73,"1,026.40",5.9,1,0.2,138.2
Darnell Mooney,CHI,WR,0,0,0,0,0,0,29.9,0.1,77.2,"1,037.50",4.9,5.6,0.2,136.6
Terry McLaurin,WAS,WR,0,0,0,0,0,0,0,0,73.2,"1,021.80",5.4,0,0.2,134.4
Jaylen Waddle,MIA,WR,0,0,0,0,0,0,24.1,0.2,83,935.8,5.7,4,0.4,131
Jerry Jeudy,DEN,WR,0,0,0,0,0,0,12.1,0.1,70.2,980.5,5.3,2,0.4,131
Amari Cooper,CLE,WR,0,0,0,0,0,0,0,0,74.2,957.1,5.9,0,0.3,130.4
Courtland Sutton,DEN,WR,0,0,0,0,0,0,0,0,62.4,883.7,6.9,0,0.2,129.2
Hunter Renfrow,LV,WR,0,0,0,0,0,0,11.6,0.1,87.1,906.8,6.1,2,0.5,128
Elijah Moore,NYJ,WR,0,0,0,0,0,0,29.8,0.1,68.8,904.2,5.5,4.5,0.3,126.5
Adam Thielen,MIN,WR,0,0,0,0,0,0,0,0,71.2,851.5,6.9,0,0.3,126.2
Robert Woods,TEN,WR,0,0,0,0,0,0,7.6,0.1,73.6,936.7,5.2,1.2,0.2,125.2
Chris Godwin,TB,WR,0,0,0,0,0,0,12.1,0.1,74.8,877.4,5.9,2,0.4,124.4
Michael Thomas,NO,WR,0,0,0,0,0,0,0,0,80.1,902,5.4,0,0.2,122.3
Allen Lazard,GB,WR,0,0,0,0,0,0,13.1,0.1,59.7,810,6.5,2,0.2,121.6
Brandon Aiyuk,SF,WR,0,0,0,0,0,0,20.2,0.1,59.6,851.9,5.5,2.7,0.3,120.1
JuJu Smith-Schuster,KC,WR,0,0,0,0,0,0,0,0,72.7,840.8,5.8,0,0.3,118.4
Christian Kirk,JAC,WR,0,0,0,0,0,0,0,0,70.3,876.7,4.8,0,0.2,115.9
Marquez Valdes-Scantling,KC,WR,0,0,0,0,0,0,5.4,0,50.5,816.3,5.5,0.9,0.2,115.2
Mecole Hardman,KC,WR,0,0,0,0,0,0,55.4,0.3,62.1,785.5,4.8,7.8,0.5,114
DeVonta Smith,PHI,WR,0,0,0,0,0,0,0,0,58.8,835.8,5.1,0,0.2,113.9
Allen Robinson II,LAR,WR,0,0,0,0,0,0,0,0,68.3,837,5,0,0.2,113.6
Rashod Bateman,BAL,WR,0,0,0,0,0,0,0,0,69.7,846.9,4.6,0,0.3,111.7
Drake London,ATL,WR,0,0,0,0,0,0,0,0,63.6,829.7,4.5,0,0.2,109.7
Marquise Brown,ARI,WR,0,0,0,0,0,0,0,0,62.9,847.6,4.2,0,0.4,109.1
Russell Gage,TB,WR,0,0,0,0,0,0,0,0,65.9,764.7,5.5,0,0.3,109.1
Chase Claypool,PIT,WR,0,0,0,0,0,0,35.7,0.3,60.5,785.1,4,5.9,0.3,107.5
Jakobi Meyers,NE,WR,0,0,0,0,0,0,0,0,70.2,824.9,4,0,0.2,106.2
DeVante Parker,NE,WR,0,0,0,0,0,0,0,0,55.8,741,4.7,0,0.2,102
Chris Olave,NO,WR,0,0,0,0,0,0,0,0,52.6,730.7,4.8,0,0.2,101.6
Tyler Boyd,CIN,WR,0,0,0,0,0,0,21.6,0,62.1,734.2,4.4,3,0.2,101.6
Kadarius Toney,NYG,WR,0,0,0,0,0,0,22,0.1,62.4,728.4,4.4,3.5,0.3,101.1
Michael Gallup,DAL,WR,0,0,0,0,0,0,0,0,50.5,721.9,4.8,0,0.1,100.6
DeAndre Hopkins,ARI,WR,0,0,0,0,0,0,0,0,52.6,680,5.1,0,0.2,98.2
Garrett Wilson,NYJ,WR,0,0,0,0,0,0,6,0,57.1,715.8,4.3,1,0.2,97.6
Robbie Anderson,CAR,WR,0,0,0,0,0,0,28,0.1,55.3,694.6,3.8,4,0.2,95.5
Jarvis Landry,NO,WR,0,0,0,0,0,0,0.4,0,57.2,698.9,4.3,0.1,0.4,95.2
Marvin Jones Jr.,JAC,WR,0,0,0,0,0,0,0,0,55.3,677.4,4.5,0,0.1,94.7
Jahan Dotson,WAS,WR,0,0,0,0,0,0,0,0,53.6,701.3,3.9,0,0.2,93.3
